Year,Voting Country,Points,Points J,Points T,Rank J,Rank T,
2026,Armenia,22,12,10,1,2,
2026,Israel,22,12,10,1,2,
2026,Malta,18,8,10,3,2,
2026,Austria,17,7,10,4,2,
2026,United Kingdom,10,3,7,8,4,
2026,Sweden,14,8,6,3,5,
2026,Norway,13,7,6,4,5,
2026,Azerbaijan,5,0,5,11,6,
2026,Estonia,5,0,5,13,6,
2026,San Marino,5,0,5,12,6,
2026,Switzerland,11,6,5,5,6,
2026,Denmark,9,4,5,7,6,
2026,Poland,12,7,5,4,6,
2026,Cyprus,10,5,5,6,6,
2026,Portugal,4,0,4,14,5,
2026,Albania,5,1,4,10,5,
2026,Croatia,11,7,4,4,5,
2026,Greece,10,7,3,4,8,
2026,Serbia,5,2,3,9,8,
2026,Georgia,2,0,2,13,9,
2026,Rest of world,2,,2,,9,
2026,Lithuania,2,0,2,16,9,
2026,Montenegro,1,0,1,11,10,
2026,Belgium,11,10,1,2,10,
2026,Italy,1,0,1,12,10,
2026,Romania,13,12,1,1,10,
2026,Latvia,0,0,0,16,14,
2026,Luxembourg,10,10,0,2,13,
2026,Germany,5,5,0,6,11,
2026,Ukraine,2,2,0,9,16,
2026,Czechia,6,6,0,5,12,
2026,Bulgaria,8,8,0,3,13,
2026,France,5,5,0,6,11,
2026,Moldova,4,4,0,7,11,
2026,Finland,7,7,0,4,13,
2023,Iceland,15,12,3,1,8,
2023,Estonia,14,8,6,3,5,
2023,Portugal,12,12,0,1,18,
2023,United Kingdom,12,10,2,2,9,
2023,Cyprus,8,8,0,3,22,
2023,Finland,8,0,8,13,3,
2023,Germany,8,8,0,3,14,
2023,Ukraine,8,8,0,3,13,
2023,Czechia,7,7,0,4,22,
2023,Azerbaijan,5,5,0,6,23,
2023,Greece,5,5,0,6,23,
2023,Moldova,5,5,0,6,16,
2023,Norway,5,5,0,6,15,
2023,San Marino,5,5,0,6,23,
2023,Belgium,4,4,0,7,19,
2023,Ireland,4,4,0,7,16,
2023,Lithuania,4,4,0,7,11,
2023,Poland,4,4,0,7,19,
2023,Slovenia,4,4,0,7,19,
2023,Albania,3,3,0,8,24,
2023,Romania,3,3,0,8,18,
2023,Denmark,2,2,0,9,11,
2023,Georgia,2,2,0,9,17,
2023,Switzerland,2,2,0,9,21,
2023,Netherlands,1,0,1,17,10,
2023,Sweden,1,0,1,14,10,
2023,Armenia,0,0,0,15,24,
2023,Austria,0,0,0,15,17,
2023,Croatia,0,0,0,18,18,
2023,France,0,0,0,15,23,
2023,Israel,0,0,0,19,11,
2023,Italy,0,0,0,18,23,
2023,Latvia,0,0,0,17,13,
2023,Malta,0,0,0,13,23,
2023,Rest of world,0,,0,,0,
2023,Serbia,0,0,0,23,22,
2023,Spain,0,0,0,14,22,
2022,Sweden,10,10,0,2,15,
2022,Cyprus,8,8,0,3,16,
2022,Estonia,8,8,0,3,22,
2022,Finland,8,8,0,3,11,
2022,Greece,8,8,0,3,13,
2022,Spain,8,8,0,3,20,
2022,Netherlands,7,7,0,4,14,
2022,Malta,6,6,0,5,12,
2022,Moldova,6,6,0,5,23,
2022,Poland,6,6,0,5,,
2022,Romania,6,6,0,5,,
2022,San Marino,6,6,0,5,,
2022,United Kingdom,6,6,0,5,19,
2022,Germany,5,5,0,6,20,
2022,Israel,5,5,0,6,18,
2022,North Macedonia,5,5,0,6,23,
2022,Switzerland,4,4,0,7,18,
2022,Ukraine,3,3,0,8,20,
2022,Azerbaijan,2,0,2,,9,
2022,Ireland,2,2,0,9,17,
2022,Italy,2,2,0,9,21,
2022,Latvia,2,2,0,9,18,
2022,Belgium,1,1,0,10,17,
2022,Czechia,1,1,0,10,16,
2022,Albania,0,0,0,13,21,
2022,Armenia,0,0,0,22,21,
2022,Austria,0,0,0,18,20,
2022,Bulgaria,0,0,0,12,18,
2022,Croatia,0,0,0,20,22,
2022,Denmark,0,0,0,19,17,
2022,France,0,0,0,15,18,
2022,Georgia,0,0,0,,,
2022,Iceland,0,0,0,11,17,
2022,Lithuania,0,0,0,12,21,
2022,Montenegro,0,0,0,,,
2022,Norway,0,0,0,13,21,
2022,Portugal,0,0,0,22,21,
2022,Serbia,0,0,0,14,20,
2022,Slovenia,0,0,0,15,23,
2019,Iceland,20,10,10,2,2,
2019,Poland,18,12,6,1,5,
2019,United Kingdom,18,8,10,3,2,
2019,Finland,16,10,6,2,5,
2019,Germany,15,10,5,2,6,
2019,Spain,15,10,5,2,6,
2019,Ireland,14,4,10,7,2,
2019,Romania,14,12,2,1,9,
2019,Italy,12,6,6,5,5,
2019,Israel,11,5,6,6,5,
2019,Portugal,11,7,4,4,7,
2019,Sweden,11,6,5,5,6,
2019,France,10,4,6,7,5,
2019,Moldova,10,10,0,2,11,
2019,North Macedonia,10,10,0,2,13,
2019,Belgium,8,4,4,7,7,
2019,Czechia,8,0,8,15,3,
2019,Serbia,7,7,0,4,11,
2019,Latvia,6,0,6,16,5,
2019,Greece,5,2,3,9,8,
2019,Montenegro,4,4,0,7,15,
2019,Netherlands,4,2,2,9,9,
2019,Norway,4,0,4,12,7,
2019,Russia,4,0,4,15,7,
2019,Switzerland,4,4,0,7,13,
2019,Albania,3,2,1,9,10,
2019,Austria,3,0,3,13,8,
2019,Lithuania,3,2,1,9,10,
2019,Malta,3,0,3,11,8,
2019,Azerbaijan,2,2,0,9,11,
2019,Belarus,2,0,2,0,9,
2019,Cyprus,2,0,2,15,9,
2019,Denmark,2,0,2,22,9,
2019,Estonia,2,0,2,14,9,
2019,Slovenia,2,0,2,15,9,
2019,Armenia,1,0,1,18,10,
2019,Croatia,0,0,0,11,14,
2019,Georgia,0,0,0,18,16,
2019,Hungary,0,0,0,24,14,
2019,San Marino,0,0,0,15,11,
2018,Denmark,12,10,2,2,9,
2018,France,10,10,0,2,0,
2018,Malta,9,3,6,8,5,
2018,Sweden,8,8,0,3,0,
2018,Germany,7,7,0,4,0,
2018,Hungary,7,7,0,4,0,
2018,Israel,7,7,0,4,0,
2018,Moldova,7,7,0,4,0,
2018,Latvia,6,6,0,5,0,
2018,Norway,6,6,0,5,0,
2018,Russia,5,5,0,6,0,
2018,Poland,4,4,0,7,0,
2018,Armenia,2,2,0,9,0,
2018,Belarus,2,2,0,9,0,
2018,Romania,2,2,0,9,0,
2018,San Marino,2,2,0,9,0,
2018,Ukraine,2,2,0,9,0,
2018,United Kingdom,1,0,1,0,10,
2018,Albania,0,0,0,0,0,
2018,Austria,0,0,0,0,0,
2018,Azerbaijan,0,0,0,0,0,
2018,Belgium,0,0,0,0,0,
2018,Bulgaria,0,0,0,0,0,
2018,Croatia,0,0,0,0,0,
2018,Cyprus,0,0,0,0,0,
2018,Czechia,0,0,0,0,0,
2018,Estonia,0,0,0,0,0,
2018,Finland,0,0,0,0,0,
2018,Georgia,0,0,0,0,0,
2018,Greece,0,0,0,0,0,
2018,Iceland,0,0,0,0,0,
2018,Ireland,0,0,0,0,0,
2018,Italy,0,0,0,0,0,
2018,Lithuania,0,0,0,0,0,
2018,Montenegro,0,0,0,0,0,
2018,Netherlands,0,0,0,0,0,
2018,North Macedonia,0,0,0,0,0,
2018,Portugal,0,0,0,0,0,
2018,Serbia,0,0,0,0,0,
2018,Slovenia,0,0,0,0,0,
2018,Spain,0,0,0,0,0,
2018,Switzerland,0,0,0,0,0,
2017,Czechia,10,10,0,2,21,
2017,Denmark,10,8,2,3,9,
2017,Finland,10,10,0,2,15,
2017,Iceland,10,10,0,2,11,
2017,Sweden,10,10,0,2,12,
2017,United Kingdom,10,10,0,2,16,
2017,North Macedonia,8,8,0,3,20,
2017,Spain,8,8,0,3,23,
2017,Belarus,7,7,0,4,19,
2017,Estonia,7,7,0,4,12,
2017,Hungary,7,7,0,4,16,
2017,Poland,7,7,0,4,16,
2017,Slovenia,7,7,0,4,12,
2017,Belgium,6,6,0,5,17,
2017,Croatia,6,6,0,5,12,
2017,Germany,5,5,0,6,15,
2017,Latvia,5,5,0,6,16,
2017,Portugal,5,5,0,6,22,
2017,Albania,4,4,0,7,13,
2017,Cyprus,4,4,0,7,13,
2017,Moldova,4,4,0,7,17,
2017,Netherlands,4,4,0,7,18,
2017,Romania,4,4,0,7,16,
2017,Switzerland,4,4,0,7,13,
2017,Norway,3,3,0,8,11,
2017,Serbia,3,3,0,8,16,
2017,France,2,2,0,9,20,
2017,Ukraine,2,2,0,9,19,
2017,Lithuania,1,1,0,10,13,
2017,Armenia,0,0,0,19,21,
2017,Austria,0,0,0,11,18,
2017,Azerbaijan,0,0,0,14,16,
2017,Bulgaria,0,0,0,12,18,
2017,Georgia,0,0,0,15,26,
2017,Greece,0,0,0,15,15,
2017,Ireland,0,0,0,17,15,
2017,Israel,0,0,0,14,21,
2017,Italy,0,0,0,14,22,
2017,Malta,0,0,0,22,16,
2017,Montenegro,0,0,0,15,14,
2017,San Marino,0,0,0,16,24,
2016,Albania,24,12,12,1,1,
2016,Sweden,24,12,12,1,1,
2016,Denmark,20,10,10,2,2,
2016,Iceland,18,10,8,2,3,
2016,Norway,18,10,8,2,3,
2016,Croatia,17,12,5,1,6,
2016,Lithuania,17,12,5,1,6,
2016,Netherlands,17,12,5,1,6,
2016,Poland,17,10,7,2,4,
2016,Belgium,16,12,4,1,7,
2016,Austria,15,12,3,1,8,
2016,Cyprus,15,10,5,2,6,
2016,Finland,15,8,7,3,4,
2016,Hungary,15,12,3,1,8,
2016,Israel,15,10,5,2,6,
2016,Malta,15,3,12,8,1,
2016,Moldova,15,10,5,2,6,
2016,Estonia,14,10,4,2,7,
2016,United Kingdom,14,8,6,3,5,
2016,Bosnia & Herzegovina,13,10,3,2,8,
2016,Bulgaria,13,8,5,3,6,
2016,Switzerland,13,12,1,1,10,
2016,Greece,12,7,5,4,6,
2016,Serbia,12,6,6,5,5,
2016,Spain,12,8,4,3,7,
2016,Germany,11,6,5,5,6,
2016,Latvia,11,5,6,6,5,
2016,North Macedonia,11,8,3,3,8,
2016,Azerbaijan,9,7,2,4,9,
2016,Georgia,9,8,1,3,10,
2016,Slovenia,9,6,3,5,8,
2016,Ukraine,9,5,4,6,7,
2016,Belarus,7,6,1,5,10,
2016,France,6,6,0,5,12,
2016,Ireland,6,0,6,12,5,
2016,Italy,6,6,0,5,11,
2016,Russia,6,2,4,9,7,
2016,Armenia,5,5,0,6,12,
2016,San Marino,5,0,5,12,6,
2016,Montenegro,4,4,0,7,13,
2016,Czechia,1,0,1,11,10,
,,,,,,,
,,,,,,,
